ICD10 Code,Description,Type of Surgery,Body Part,Index
0PB3X,,General Surgery,General,13
0BBN0,"Excision of Right Pleura, Open Approach, Diagnostic
Excision of Right Pleura, Open Approach",General Surgery,General,13
0WB0X,"Excision of Head, External Approach, Diagnostic
Excision of Head, External Approach",General Surgery,General,13
0BBJ4,"Excision of Left Lower Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic
Excision of Left Lower Lung Lobe, Percutaneous Endoscopic Approach",Lung Surgery,Pulmonary,9
0UBG0,"Excision of Vagina, Open Approach, Diagnostic
Excision of Vagina, Open Approach",General Surgery,General,13
0QH60,"Insertion of Internal Fixation Device into Right Upper Femur, Open Approach
Insertion of External Fixation Device into Right Upper Femur, Open Approach
Insertion of Intramedullary Internal Fixation Device into Right Upper Femur, Open Approach
Insertion of Limb Lengthening External Fixation Device into Right Upper Femur, Open Approach
Insertion of Monoplanar External Fixation Device into Right Upper Femur, Open Approach",General Surgery,General,13
07T10,"Resection of Right Neck Lymphatic, Open Approach",General Surgery,General,13
05BY0,"Excision of Upper Vein, Open Approach, Diagnostic
Excision of Upper Vein, Open Approach",General Surgery,General,13
08U43,,General Surgery,General,13
0TRB0,"Replacement of Bladder with Autologous Tissue Substitute, Open Approach
Replacement of Bladder with Synthetic Substitute, Open Approach
Replacement of Bladder with Nonautologous Tissue Substitute, Open Approach",Urinary Surgery,Renal,3
0BBC0,"Excision of Right Upper Lung Lobe, Open Approach, Diagnostic
Excision of Right Upper Lung Lobe, Open Approach",Lung Surgery,Pulmonary,9
0FT24,"Resection of Left Lobe Liver, Percutaneous Endoscopic Approach",Liver Surgery,Hepatic,8
0UJD7,"Inspection of Uterus and Cervix, Via Natural or Artificial Opening",General Surgery,General,13
0TH10,,General Surgery,General,13
0DQ04,,General Surgery,General,13
04BK0,"Excision of Right Femoral Artery, Open Approach, Diagnostic
Excision of Right Femoral Artery, Open Approach",General Surgery,General,13
0DB94,"Excision of Duodenum, Percutaneous Endoscopic Approach, Diagnostic
Excision of Duodenum, Percutaneous Endoscopic Approach",General Surgery,General,13
0SGM0,"Fusion of Right Metatarsal-Phalangeal Joint with Sustained Compression Internal Fixation Device, Open Approach
Fusion of Right Metatarsal-Phalangeal Joint with Internal Fixation Device, Open Approach
Fusion of Right Metatarsal-Phalangeal Joint with External Fixation Device, Open Approach
Fusion of Right Metatarsal-Phalangeal Joint with Autologous Tissue Substitute, Open Approach
Fusion of Right Metatarsal-Phalangeal Joint with Synthetic Substitute, Open Approach",Orthopedic Surgery,Orthopedic,5
0RQE4,"Repair Right Sternoclavicular Joint, Percutaneous Endoscopic Approach",Orthopedic Surgery,Orthopedic,5
04CY0,"Extirpation of Matter from Lower Artery, Open Approach",General Surgery,General,13
0SB90,"Excision of Right Hip Joint, Open Approach, Diagnostic
Excision of Right Hip Joint, Open Approach",Orthopedic Surgery,Orthopedic,5
0LX00,"Transfer Head and Neck Tendon, Open Approach",General Surgery,General,13
0SHJ0,"Insertion of Infusion Device into Left Tarsal Joint, Open Approach
Insertion of Internal Fixation Device into Left Tarsal Joint, Open Approach
Insertion of External Fixation Device into Left Tarsal Joint, Open Approach
Insertion of Spacer into Left Tarsal Joint, Open Approach",Orthopedic Surgery,Orthopedic,5
03C50,"Extirpation of Matter from Right Axillary Artery, Open Approach",General Surgery,General,13
0PHJ3,"Insertion of Internal Fixation Device into Left Radius, Percutaneous Approach
Insertion of External Fixation Device into Left Radius, Percutaneous Approach
Insertion of Intramedullary Internal Fixation Device into Left Radius, Percutaneous Approach
Insertion of Limb Lengthening External Fixation Device into Left Radius, Percutaneous Approach
Insertion of Monoplanar External Fixation Device into Left Radius, Percutaneous Approach",General Surgery,General,13
01D00,"Extraction of Cervical Plexus, Open Approach",General Surgery,General,13
09Q73,"Repair Right Tympanic Membrane, Percutaneous Approach",General Surgery,General,13
0WT80,,General Surgery,General,13
02B63,"Excision of Right Atrium, Percutaneous Approach, Diagnostic
Excision of Right Atrium, Percutaneous Approach",General Surgery,General,13
0LQ70,"Repair Right Hand Tendon, Open Approach",General Surgery,General,13
0PT00,"Resection of Sternum, Open Approach",General Surgery,General,13
0RNXX,"Release Left Finger Phalangeal Joint, External Approach",Orthopedic Surgery,Orthopedic,5
037H0,"Dilation of Right Common Carotid Artery with Drug-eluting Intraluminal Device, Open Approach
Dilation of Right Common Carotid Artery with Two Drug-eluting Intraluminal Devices, Open Approach
Dilation of Right Common Carotid Artery with Four or More Drug-eluting Intraluminal Devices, Open Approach
Dilation of Right Common Carotid Artery with Intraluminal Device, Open Approach
Dilation of Right Common Carotid Artery with Two Intraluminal Devices, Open Approach",General Surgery,General,13
0FB90,"Excision of Common Bile Duct, Open Approach, Diagnostic
Excision of Common Bile Duct, Open Approach",General Surgery,General,13
02110,"Bypass Coronary Artery, Two Arteries from Coronary Artery with Zooplastic Tissue, Open Approach
Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Zooplastic Tissue, Open Approach
Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Zooplastic Tissue, Open Approach
Bypass Coronary Artery, Two Arteries from Thoracic Artery with Zooplastic Tissue, Open Approach
Bypass Coronary Artery, Two Arteries from Abdominal Artery with Zooplastic Tissue, Open Approach",Valve Replacement,Cardiac,1
0WBG4,,General Surgery,General,13
0DTN0,"Resection of Sigmoid Colon, Open Approach",Colon Surgery,Gastrointestinal,4
0XR90,,General Surgery,General,13
0BBN4,"Excision of Right Pleura, Percutaneous Endoscopic Approach, Diagnostic
Excision of Right Pleura, Percutaneous Endoscopic Approach",General Surgery,General,13
0RBX0,"Excision of Left Finger Phalangeal Joint, Open Approach, Diagnostic
Excision of Left Finger Phalangeal Joint, Open Approach",Orthopedic Surgery,Orthopedic,5
04RY0,"Replacement of Lower Artery with Autologous Tissue Substitute, Open Approach
Replacement of Lower Artery with Synthetic Substitute, Open Approach
Replacement of Lower Artery with Nonautologous Tissue Substitute, Open Approach",General Surgery,General,13
0F990,"Drainage of Common Bile Duct with Drainage Device, Open Approach
Drainage of Common Bile Duct, Open Approach, Diagnostic
Drainage of Common Bile Duct, Open Approach",General Surgery,General,13
03VG0,"Restriction of Intracranial Artery with Bioactive Intraluminal Device, Open Approach
Restriction of Intracranial Artery with Extraluminal Device, Open Approach
Restriction of Intracranial Artery with Intraluminal Device, Open Approach
Restriction of Intracranial Artery with Intraluminal Device, Flow Diverter, Open Approach
Restriction of Intracranial Artery, Open Approach",General Surgery,General,13
0DJ00,"Inspection of Upper Intestinal Tract, Open Approach",General Surgery,General,13
00960,"Drainage of Cerebral Ventricle with Drainage Device, Open Approach
Drainage of Cerebral Ventricle, Open Approach, Diagnostic
Drainage of Cerebral Ventricle, Open Approach",General Surgery,General,13
0UTGF,,General Surgery,General,13
0SWC0,"Revision of Drainage Device in Right Knee Joint, Open Approach
Revision of Infusion Device in Right Knee Joint, Open Approach
Revision of Internal Fixation Device in Right Knee Joint, Open Approach
Revision of External Fixation Device in Right Knee Joint, Open Approach
Revision of Autologous Tissue Substitute in Right Knee Joint, Open Approach",Hip Replacement,Orthopedic,5
0HQ7X,"Repair Abdomen Skin, External Approach",General Surgery,General,13
0XB80,"Excision of Right Upper Arm, Open Approach, Diagnostic
Excision of Right Upper Arm, Open Approach",General Surgery,General,13
0H300,,General Surgery,General,13
00Q00,"Repair Brain, Open Approach",Brain Surgery,Neurological,2
0WNF0,,General Surgery,General,13
0PB0X,,General Surgery,General,13
07BM4,"Excision of Thymus, Percutaneous Endoscopic Approach, Diagnostic
Excision of Thymus, Percutaneous Endoscopic Approach",General Surgery,General,13
0MB24,"Excision of Left Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic
Excision of Left Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach",General Surgery,General,13
0FYG0,"Transplantation of Pancreas, Allogeneic, Open Approach
Transplantation of Pancreas, Syngeneic, Open Approach
Transplantation of Pancreas, Zooplastic, Open Approach",General Surgery,General,13
0XXN0,"Transfer Right Index Finger to Right Thumb, Open Approach",General Surgery,General,13
08U00,"Supplement of Right Eye with Autologous Tissue Substitute, Open Approach
Supplement of Right Eye with Synthetic Substitute, Open Approach
Supplement of Right Eye with Nonautologous Tissue Substitute, Open Approach",Eye Surgery,Ophthalmological,12
0BJC4,,General Surgery,General,13
0NHV0,"Insertion of Internal Fixation Device into Left Mandible, Open Approach
Insertion of External Fixation Device into Left Mandible, Open Approach",General Surgery,General,13
0RHL0,"Insertion of Infusion Device into Right Elbow Joint, Open Approach
Insertion of Internal Fixation Device into Right Elbow Joint, Open Approach
Insertion of External Fixation Device into Right Elbow Joint, Open Approach
Insertion of Spacer into Right Elbow Joint, Open Approach",Orthopedic Surgery,Orthopedic,5
0WBJ0,,General Surgery,General,13
0DT90,"Resection of Duodenum, Open Approach",General Surgery,General,13
0RGQ0,"Fusion of Right Carpal Joint with Sustained Compression Internal Fixation Device, Open Approach
Fusion of Right Carpal Joint with Internal Fixation Device, Open Approach
Fusion of Right Carpal Joint with External Fixation Device, Open Approach
Fusion of Right Carpal Joint with Autologous Tissue Substitute, Open Approach
Fusion of Right Carpal Joint with Synthetic Substitute, Open Approach",Orthopedic Surgery,Orthopedic,5
0TD00,"Extraction of Right Kidney, Open Approach",Kidney Transplant,Renal,3
0QB60,"Excision of Right Upper Femur, Open Approach, Diagnostic
Excision of Right Upper Femur, Open Approach",General Surgery,General,13
0Y6CX,,General Surgery,General,13
0PBR0,"Excision of Right Thumb Phalanx, Open Approach, Diagnostic
Excision of Right Thumb Phalanx, Open Approach",General Surgery,General,13
0Y6C0,"Detachment at Right Upper Leg, High, Open Approach
Detachment at Right Upper Leg, Mid, Open Approach
Detachment at Right Upper Leg, Low, Open Approach",General Surgery,General,13
09770,,General Surgery,General,13
0CQ20,"Repair Hard Palate, Open Approach",General Surgery,General,13
0DBN0,"Excision of Sigmoid Colon, Open Approach, Diagnostic
Excision of Sigmoid Colon, Open Approach",Colon Surgery,Gastrointestinal,4
0MQN4,"Repair Right Knee Bursa and Ligament, Percutaneous Endoscopic Approach",Hip Replacement,Orthopedic,5
0UD94,,General Surgery,General,13
09QQ8,"Repair Right Maxillary Sinus, Via Natural or Artificial Opening Endoscopic",Tympanoplasty,ENT,6
0HB04,,General Surgery,General,13
0Y620,"Detachment at Right Hindquarter, Open Approach",General Surgery,General,13
08RJX,,General Surgery,General,13
0SBG0,"Excision of Left Ankle Joint, Open Approach, Diagnostic
Excision of Left Ankle Joint, Open Approach",Orthopedic Surgery,Orthopedic,5
08QJ3,"Repair Right Lens, Percutaneous Approach",General Surgery,General,13
00Q60,"Repair Cerebral Ventricle, Open Approach",General Surgery,General,13
0E9RX,,General Surgery,General,13
08QNX,"Repair Right Upper Eyelid, External Approach",Eye Surgery,Ophthalmological,12
08B40,,General Surgery,General,13
0DRE0,,General Surgery,General,13
0VBG0,"Excision of Left Spermatic Cord, Open Approach, Diagnostic
Excision of Left Spermatic Cord, Open Approach",General Surgery,General,13
09900,"Drainage of Right External Ear with Drainage Device, Open Approach
Drainage of Right External Ear, Open Approach, Diagnostic
Drainage of Right External Ear, Open Approach",Ear Surgery,ENT,6
00QF0,"Repair Olfactory Nerve, Open Approach",General Surgery,General,13
0RB04,"Excision of Occipital-cervical Joint, Percutaneous Endoscopic Approach, Diagnostic
Excision of Occipital-cervical Joint, Percutaneous Endoscopic Approach",Orthopedic Surgery,Orthopedic,5
0VS97,,General Surgery,General,13
0JNJ0,"Release Right Hand Subcutaneous Tissue and Fascia, Open Approach",General Surgery,General,13
02CP0,"Extirpation of Matter from Pulmonary Trunk, Open Approach",Lung Surgery,Pulmonary,9
0S8H0,,General Surgery,General,13
03R20,"Replacement of Innominate Artery with Autologous Tissue Substitute, Open Approach
Replacement of Innominate Artery with Synthetic Substitute, Open Approach
Replacement of Innominate Artery with Nonautologous Tissue Substitute, Open Approach",General Surgery,General,13
03LY3,"Occlusion of Upper Artery with Extraluminal Device, Percutaneous Approach
Occlusion of Upper Artery with Intraluminal Device, Percutaneous Approach
Occlusion of Upper Artery, Percutaneous Approach",General Surgery,General,13
0SQG4,"Repair Left Ankle Joint, Percutaneous Endoscopic Approach",Orthopedic Surgery,Orthopedic,5
0MBP4,"Excision of Left Knee Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic
Excision of Left Knee Bursa and Ligament, Percutaneous Endoscopic Approach",Hip Replacement,Orthopedic,5
03L20,"Occlusion of Innominate Artery with Extraluminal Device, Open Approach
Occlusion of Innominate Artery with Intraluminal Device, Open Approach
Occlusion of Innominate Artery, Open Approach",General Surgery,General,13
0DTB0,"Resection of Ileum, Open Approach",General Surgery,General,13
02BA0,,General Surgery,General,13
0PB03,"Excision of Sternum, Percutaneous Approach, Diagnostic
Excision of Sternum, Percutaneous Approach",General Surgery,General,13
0NS00,"Reposition Skull with Internal Fixation Device, Open Approach
Reposition Skull with External Fixation Device, Open Approach
Reposition Skull, Open Approach",General Surgery,General,13
09Q78,"Repair Right Tympanic Membrane, Via Natural or Artificial Opening Endoscopic",General Surgery,General,13
0ABD7,,General Surgery,General,13
00NT0,"Release Spinal Meninges, Open Approach",General Surgery,General,13
0J040,"Alteration of Right Neck Subcutaneous Tissue and Fascia, Open Approach",General Surgery,General,13
0BQ10,"Repair Trachea, Open Approach",General Surgery,General,13
0FBD4,"Excision of Pancreatic Duct, Percutaneous Endoscopic Approach, Diagnostic
Excision of Pancreatic Duct, Percutaneous Endoscopic Approach",General Surgery,General,13
09970,"Drainage of Right Tympanic Membrane with Drainage Device, Open Approach
Drainage of Right Tympanic Membrane, Open Approach, Diagnostic
Drainage of Right Tympanic Membrane, Open Approach",General Surgery,General,13
0VC08,"Extirpation of Matter from Prostate, Via Natural or Artificial Opening Endoscopic",General Surgery,General,13
03B20,"Excision of Innominate Artery, Open Approach, Diagnostic
Excision of Innominate Artery, Open Approach",General Surgery,General,13
09Q04,"Repair Right External Ear, Percutaneous Endoscopic Approach",Ear Surgery,ENT,6
0M9N4,"Drainage of Right Knee Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach
Drainage of Right Knee Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic
Drainage of Right Knee Bursa and Ligament, Percutaneous Endoscopic Approach",Hip Replacement,Orthopedic,5
0QHL0,"Insertion of Internal Fixation Device into Right Tarsal, Open Approach
Insertion of External Fixation Device into Right Tarsal, Open Approach",General Surgery,General,13
047Y3,"Dilation of Lower Artery with Drug-eluting Intraluminal Device, using Drug-Coated Balloon, Percutaneous Approach
Dilation of Lower Artery with Drug-eluting Intraluminal Device, Percutaneous Approach
Dilation of Lower Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Dilation of Lower Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Dilation of Lower Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach",General Surgery,General,13
09B0X,"Excision of Right External Ear, External Approach, Diagnostic
Excision of Right External Ear, External Approach",Ear Surgery,ENT,6
0SHG3,"Insertion of Infusion Device into Left Ankle Joint, Percutaneous Approach
Insertion of Internal Fixation Device into Left Ankle Joint, Percutaneous Approach
Insertion of External Fixation Device into Left Ankle Joint, Percutaneous Approach
Insertion of Spacer into Left Ankle Joint, Percutaneous Approach",Orthopedic Surgery,Orthopedic,5
09BM0,"Excision of Nasal Septum, Open Approach, Diagnostic
Excision of Nasal Septum, Open Approach",General Surgery,General,13
07BP0,"Excision of Spleen, Open Approach, Diagnostic
Excision of Spleen, Open Approach",General Surgery,General,13
080N0,"Alteration of Right Upper Eyelid with Autologous Tissue Substitute, Open Approach
Alteration of Right Upper Eyelid with Synthetic Substitute, Open Approach
Alteration of Right Upper Eyelid with Nonautologous Tissue Substitute, Open Approach
Alteration of Right Upper Eyelid, Open Approach",Eye Surgery,Ophthalmological,12
0PBC0,"Excision of Right Humeral Head, Open Approach, Diagnostic
Excision of Right Humeral Head, Open Approach",General Surgery,General,13
0WDG4,,General Surgery,General,13
03VH0,"Restriction of Right Common Carotid Artery with Bioactive Intraluminal Device, Open Approach
Restriction of Right Common Carotid Artery with Extraluminal Device, Open Approach
Restriction of Right Common Carotid Artery with Intraluminal Device, Open Approach
Restriction of Right Common Carotid Artery with Intraluminal Device, Flow Diverter, Open Approach
Restriction of Right Common Carotid Artery, Open Approach",General Surgery,General,13
0T100,,General Surgery,General,13
0THD0,"Insertion of Radioactive Element into Urethra, Open Approach
Insertion of Monitoring Device into Urethra, Open Approach
Insertion of Infusion Device into Urethra, Open Approach
Insertion of Artificial Sphincter into Urethra, Open Approach
Insertion of Other Device into Urethra, Open Approach",General Surgery,General,13
02CN0,"Extirpation of Matter from Pericardium, Open Approach",General Surgery,General,13
0WTF4,,General Surgery,General,13
0VT04,"Resection of Prostate, Percutaneous Endoscopic Approach",General Surgery,General,13
0JX00,"Transfer Scalp Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Open Approach
Transfer Scalp Subcutaneous Tissue and Fascia with Skin, Subcutaneous Tissue and Fascia, Open Approach
Transfer Scalp Subcutaneous Tissue and Fascia, Open Approach",General Surgery,General,13
0SR90,"Replacement of Right Hip Joint with Metal Synthetic Substitute, Cemented, Open Approach
Replacement of Right Hip Joint with Metal Synthetic Substitute, Uncemented, Open Approach
Replacement of Right Hip Joint with Metal Synthetic Substitute, Open Approach
Replacement of Right Hip Joint with Metal on Polyethylene Synthetic Substitute, Cemented, Open Approach
Replacement of Right Hip Joint with Metal on Polyethylene Synthetic Substitute, Uncemented, Open Approach",Orthopedic Surgery,Orthopedic,5
0D1N0,"Bypass Sigmoid Colon to Cutaneous with Autologous Tissue Substitute, Open Approach
Bypass Sigmoid Colon to Sigmoid Colon with Autologous Tissue Substitute, Open Approach
Bypass Sigmoid Colon to Rectum with Autologous Tissue Substitute, Open Approach
Bypass Sigmoid Colon to Cutaneous with Synthetic Substitute, Open Approach
Bypass Sigmoid Colon to Sigmoid Colon with Synthetic Substitute, Open Approach",Valve Replacement,Cardiac,1
07BP4,"Excision of Spleen, Percutaneous Endoscopic Approach, Diagnostic
Excision of Spleen, Percutaneous Endoscopic Approach",General Surgery,General,13
0RQ30,"Repair Cervical Vertebral Disc, Open Approach",Spine Surgery,Neurological,2
0BTG3,,General Surgery,General,13
0TBD7,"Excision of Urethra, Via Natural or Artificial Opening, Diagnostic
Excision of Urethra, Via Natural or Artificial Opening",General Surgery,General,13
09BK0,"Excision of Nasal Mucosa and Soft Tissue, Open Approach, Diagnostic
Excision of Nasal Mucosa and Soft Tissue, Open Approach",General Surgery,General,13
0PHQ3,"Insertion of Internal Fixation Device into Left Metacarpal, Percutaneous Approach
Insertion of External Fixation Device into Left Metacarpal, Percutaneous Approach",General Surgery,General,13
00TT0,,General Surgery,General,13
0SG00,"Fusion of Lumbar Vertebral Joint with Autologous Tissue Substitute, Anterior Approach, Anterior Column, Open Approach
Fusion of Lumbar Vertebral Joint with Autologous Tissue Substitute, Posterior Approach, Posterior Column, Open Approach
Fusion of Lumbar Vertebral Joint with Autologous Tissue Substitute, Posterior Approach, Anterior Column, Open Approach
Fusion of Lumbar Vertebral Joint with Interbody Fusion Device, Anterior Approach, Anterior Column, Open Approach
Fusion of Lumbar Vertebral Joint with Interbody Fusion Device, Posterior Approach, Anterior Column, Open Approach",Spine Surgery,Neurological,2
0BT04,,General Surgery,General,13
0WU80,"Supplement Chest Wall with Autologous Tissue Substitute, Open Approach
Supplement Chest Wall with Synthetic Substitute, Open Approach
Supplement Chest Wall with Nonautologous Tissue Substitute, Open Approach",General Surgery,General,13
0EQ00,,General Surgery,General,13
0RQ00,"Repair Occipital-cervical Joint, Open Approach",Orthopedic Surgery,Orthopedic,5
03130,"Bypass Right Subclavian Artery to Right Upper Arm Artery with Autologous Venous Tissue, Open Approach
Bypass Right Subclavian Artery to Left Upper Arm Artery with Autologous Venous Tissue, Open Approach
Bypass Right Subclavian Artery to Bilateral Upper Arm Artery with Autologous Venous Tissue, Open Approach
Bypass Right Subclavian Artery to Right Lower Arm Artery with Autologous Venous Tissue, Open Approach
Bypass Right Subclavian Artery to Left Lower Arm Artery with Autologous Venous Tissue, Open Approach",Valve Replacement,Cardiac,1
0TB70,"Excision of Left Ureter, Open Approach, Diagnostic
Excision of Left Ureter, Open Approach",General Surgery,General,13
09T00,"Resection of Right External Ear, Open Approach",Ear Surgery,ENT,6
08BP0,"Excision of Left Upper Eyelid, Open Approach, Diagnostic
Excision of Left Upper Eyelid, Open Approach",Eye Surgery,Ophthalmological,12
0B9N0,"Drainage of Right Pleura with Drainage Device, Open Approach
Drainage of Right Pleura, Open Approach, Diagnostic
Drainage of Right Pleura, Open Approach",General Surgery,General,13
0PS30,"Reposition Cervical Vertebra with Internal Fixation Device, Open Approach
Reposition Cervical Vertebra, Open Approach",General Surgery,General,13
0FB04,"Excision of Liver, Percutaneous Endoscopic Approach, Diagnostic
Excision of Liver, Percutaneous Endoscopic Approach",Liver Surgery,Hepatic,8
0NHQ0,"Insertion of Internal Fixation Device into Left Orbit, Open Approach",General Surgery,General,13
0HT80,,General Surgery,General,13
0DBP0,"Excision of Rectum, Open Approach, Diagnostic
Excision of Rectum, Open Approach",General Surgery,General,13
0D754,"Dilation of Esophagus with Intraluminal Device, Percutaneous Endoscopic Approach
Dilation of Esophagus, Percutaneous Endoscopic Approach",General Surgery,General,13
0PPC0,"Removal of Internal Fixation Device from Right Humeral Head, Open Approach
Removal of External Fixation Device from Right Humeral Head, Open Approach
Removal of Autologous Tissue Substitute from Right Humeral Head, Open Approach
Removal of Synthetic Substitute from Right Humeral Head, Open Approach
Removal of Nonautologous Tissue Substitute from Right Humeral Head, Open Approach",General Surgery,General,13
08QN0,"Repair Right Upper Eyelid, Open Approach",Eye Surgery,Ophthalmological,12
0VS94,"Reposition Right Testis, Percutaneous Endoscopic Approach",General Surgery,General,13
05QY0,"Repair Upper Vein, Open Approach",General Surgery,General,13
0R800,,General Surgery,General,13
09QD0,"Repair Right Inner Ear, Open Approach",Ear Surgery,ENT,6
08RK3,"Replacement of Left Lens with Intraocular Telescope, Percutaneous Approach
Replacement of Left Lens with Autologous Tissue Substitute, Percutaneous Approach
Replacement of Left Lens with Synthetic Substitute, Percutaneous Approach
Replacement of Left Lens with Nonautologous Tissue Substitute, Percutaneous Approach",Eye Surgery,Ophthalmological,12
01B50,"Excision of Median Nerve, Open Approach, Diagnostic
Excision of Median Nerve, Open Approach",General Surgery,General,13
0SGD0,"Fusion of Left Knee Joint with Sustained Compression Internal Fixation Device, Open Approach
Fusion of Left Knee Joint with Internal Fixation Device, Open Approach
Fusion of Left Knee Joint with External Fixation Device, Open Approach
Fusion of Left Knee Joint with Autologous Tissue Substitute, Open Approach
Fusion of Left Knee Joint with Synthetic Substitute, Open Approach",Hip Replacement,Orthopedic,5
0SRQ0,"Replacement of Left Toe Phalangeal Joint with Autologous Tissue Substitute, Open Approach
Replacement of Left Toe Phalangeal Joint with Synthetic Substitute, Open Approach
Replacement of Left Toe Phalangeal Joint with Nonautologous Tissue Substitute, Open Approach",Orthopedic Surgery,Orthopedic,5
08BJ3,"Excision of Right Lens, Percutaneous Approach, Diagnostic
Excision of Right Lens, Percutaneous Approach",General Surgery,General,13
08D8X,"Extraction of Right Cornea, External Approach, Diagnostic
Extraction of Right Cornea, External Approach",General Surgery,General,13
08SK3,"Reposition Left Lens, Percutaneous Approach",General Surgery,General,13
0E000,,General Surgery,General,13
0Q870,"Division of Left Upper Femur, Open Approach",General Surgery,General,13
0MX20,"Transfer Left Shoulder Bursa and Ligament, Open Approach",General Surgery,General,13
0NQBX,"Repair Nasal Bone, External Approach",General Surgery,General,13
0UB64,"Excision of Left Fallopian Tube, Percutaneous Endoscopic Approach, Diagnostic
Excision of Left Fallopian Tube, Percutaneous Endoscopic Approach",General Surgery,General,13
0GBK0,,General Surgery,General,13
0DNE4,"Release Large Intestine, Percutaneous Endoscopic Approach",General Surgery,General,13
0UQ90,"Repair Uterus, Open Approach",General Surgery,General,13
0VBS0,"Excision of Penis, Open Approach, Diagnostic
Excision of Penis, Open Approach",General Surgery,General,13
0CJS0,"Inspection of Larynx, Open Approach",General Surgery,General,13
01D50,"Extraction of Median Nerve, Open Approach",General Surgery,General,13
07TP0,"Resection of Spleen, Open Approach",General Surgery,General,13
0NSC0,"Reposition Sphenoid Bone with Internal Fixation Device, Open Approach
Reposition Sphenoid Bone, Open Approach",General Surgery,General,13
0HBY0,"Excision of Supernumerary Breast, Open Approach, Diagnostic
Excision of Supernumerary Breast, Open Approach",Breast Surgery,Breast,10
01NG0,"Release Tibial Nerve, Open Approach",General Surgery,General,13
0Y6R0,"Detachment at Right 2nd Toe, Complete, Open Approach
Detachment at Right 2nd Toe, High, Open Approach
Detachment at Right 2nd Toe, Mid, Open Approach
Detachment at Right 2nd Toe, Low, Open Approach",General Surgery,General,13
0DT50,"Resection of Esophagus, Open Approach",General Surgery,General,13
07Q00,"Repair Head Lymphatic, Open Approach",General Surgery,General,13
0PBD0,"Excision of Left Humeral Head, Open Approach, Diagnostic
Excision of Left Humeral Head, Open Approach",General Surgery,General,13
0SHC0,"Insertion of Infusion Device into Right Knee Joint, Open Approach
Insertion of Internal Fixation Device into Right Knee Joint, Open Approach
Insertion of External Fixation Device into Right Knee Joint, Open Approach
Insertion of Spacer into Right Knee Joint, Open Approach",Hip Replacement,Orthopedic,5
0PHB0,"Insertion of Internal Fixation Device into Left Clavicle, Open Approach",General Surgery,General,13
0CQ80,"Repair Right Parotid Gland, Open Approach",General Surgery,General,13
0RR00,"Replacement of Occipital-cervical Joint with Autologous Tissue Substitute, Open Approach
Replacement of Occipital-cervical Joint with Synthetic Substitute, Open Approach
Replacement of Occipital-cervical Joint with Nonautologous Tissue Substitute, Open Approach",Orthopedic Surgery,Orthopedic,5
0NBC0,"Excision of Sphenoid Bone, Open Approach, Diagnostic
Excision of Sphenoid Bone, Open Approach",General Surgery,General,13
0DQ40,"Repair Esophagogastric Junction, Open Approach",General Surgery,General,13
0Y6Q0,"Detachment at Left 1st Toe, Complete, Open Approach
Detachment at Left 1st Toe, High, Open Approach
Detachment at Left 1st Toe, Mid, Open Approach
Detachment at Left 1st Toe, Low, Open Approach",General Surgery,General,13
08940,,General Surgery,General,13
0YQ54,"Repair Right Inguinal Region, Percutaneous Endoscopic Approach",General Surgery,General,13
0QQ70,"Repair Left Upper Femur, Open Approach",General Surgery,General,13
0HHT0,"Insertion of Radioactive Element into Right Breast, Open Approach
Insertion of Tissue Expander into Right Breast, Open Approach
Insertion of Other Device into Right Breast, Open Approach",Breast Surgery,Breast,10
00NF0,"Release Olfactory Nerve, Open Approach",General Surgery,General,13
0CQP0,"Repair Tonsils, Open Approach",General Surgery,General,13
07B10,"Excision of Right Neck Lymphatic, Open Approach, Diagnostic
Excision of Right Neck Lymphatic, Open Approach",General Surgery,General,13
0CT80,"Resection of Right Parotid Gland, Open Approach",General Surgery,General,13
0J0C7,,General Surgery,General,13
0UQ04,"Repair Right Ovary, Percutaneous Endoscopic Approach",General Surgery,General,13
0QHR3,"Insertion of Internal Fixation Device into Left Toe Phalanx, Percutaneous Approach
Insertion of External Fixation Device into Left Toe Phalanx, Percutaneous Approach",General Surgery,General,13
08TJX,,General Surgery,General,13
0FBD0,"Excision of Pancreatic Duct, Open Approach, Diagnostic
Excision of Pancreatic Duct, Open Approach",General Surgery,General,13
08QJX,,General Surgery,General,13
0RP00,"Removal of Drainage Device from Occipital-cervical Joint, Open Approach
Removal of Infusion Device from Occipital-cervical Joint, Open Approach
Removal of Internal Fixation Device from Occipital-cervical Joint, Open Approach
Removal of Autologous Tissue Substitute from Occipital-cervical Joint, Open Approach
Removal of Spacer from Occipital-cervical Joint, Open Approach",Orthopedic Surgery,Orthopedic,5
